model_node,model,score,test_node,discrepancy,method,std,experiment,threshold,sample pair calculation
pi2,"SVR(C=100, epsilon=1, kernel='linear')",0.7506323776932822,pi4,0.931781507983116,OCSVM,False,2,0.85,True
pi2,"SVR(C=100, epsilon=1, kernel='linear')",0.7506323776932822,pi5,27.05916047603532,OCSVM,False,2,0.0,True
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.008371635686436618,pi2,0.2031514081934469,OCSVM,False,2,0.43,True
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.008371635686436618,pi3,6.277339388296024,OCSVM,False,2,0.08,True
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.008371635686436618,pi5,26.52532294783111,OCSVM,False,2,0.08,True
pi5,"SVR(C=100, epsilon=0.2, kernel='linear')",0.5450353308739737,pi2,18.921507760832174,OCSVM,False,2,0.89,True
pi5,"SVR(C=100, epsilon=0.2, kernel='linear')",0.5450353308739737,pi3,0.3160411919162084,OCSVM,False,2,1.0,True
pi5,"SVR(C=100, epsilon=0.2, kernel='linear')",0.5450353308739737,pi4,3.626906098562153,OCSVM,False,2,0.85,True
pi3,SVR(kernel='linear'),0.3350176872639836,pi4,4.215949132845296,OCSVM,False,2,0.85,True
pi3,SVR(kernel='linear'),0.3350176872639836,pi5,0.08763036225141685,OCSVM,False,2,0.53,True
pi2,LinearRegression(),0.7507258594004762,pi4,0.9231607186345838,OCSVM,False,2,0.85,True
pi2,LinearRegression(),0.7507258594004762,pi5,26.99370139776657,OCSVM,False,2,0.0,True
pi4,LinearRegression(),0.03973262744266015,pi2,0.4698209005514158,OCSVM,False,2,0.43,True
pi4,LinearRegression(),0.03973262744266015,pi3,6.508426855133522,OCSVM,False,2,0.08,True
pi4,LinearRegression(),0.03973262744266015,pi5,22.07488103230556,OCSVM,False,2,0.08,True
pi5,LinearRegression(),0.5490603117041633,pi2,18.747669948757714,OCSVM,False,2,0.89,True
pi5,LinearRegression(),0.5490603117041633,pi3,0.36929837822280154,OCSVM,False,2,1.0,True
pi5,LinearRegression(),0.5490603117041633,pi4,3.4428314544179326,OCSVM,False,2,0.85,True
pi3,LinearRegression(),0.3783378375482429,pi4,4.623972687671811,OCSVM,False,2,0.85,True
pi3,LinearRegression(),0.3783378375482429,pi5,0.6114808439836332,OCSVM,False,2,0.53,True
pi2,SVR(C=10),0.7756139348539213,pi4,0.6734582089370901,OCSVM,True,2,0.85,True
pi2,SVR(C=10),0.7756139348539213,pi5,27.364064926107584,OCSVM,True,2,0.0,True
pi4,"SVR(C=1, epsilon=0.2)",0.4756060042467323,pi2,6.14463210356158,OCSVM,True,2,0.43,True
pi4,"SVR(C=1, epsilon=0.2)",0.4756060042467323,pi3,7.495268719561148,OCSVM,True,2,0.08,True
pi4,"SVR(C=1, epsilon=0.2)",0.4756060042467323,pi5,11.603035134665566,OCSVM,True,2,0.08,True
pi5,"SVR(C=100, epsilon=0.01)",0.6304965005397507,pi2,18.606367009110368,OCSVM,True,2,0.89,True
pi5,"SVR(C=100, epsilon=0.01)",0.6304965005397507,pi3,2.76069306235037,OCSVM,True,2,1.0,True
pi5,"SVR(C=100, epsilon=0.01)",0.6304965005397507,pi4,2.7614321053796553,OCSVM,True,2,0.85,True
pi3,"SVR(C=1, epsilon=0.5)",0.5833340682417991,pi4,4.690106026798926,OCSVM,True,2,0.85,True
pi3,"SVR(C=1, epsilon=0.5)",0.5833340682417991,pi5,8.254370428100154,OCSVM,True,2,0.53,True
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7438946504017827,pi4,0.922364014790136,OCSVM,True,2,0.85,True
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7438946504017827,pi5,27.886784809846556,OCSVM,True,2,0.0,True
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.03868648136853259,pi2,0.4958407378090688,OCSVM,True,2,0.43,True
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.03868648136853259,pi3,6.704590313523083,OCSVM,True,2,0.08,True
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.03868648136853259,pi5,23.70386937519959,OCSVM,True,2,0.08,True
pi5,"SVR(C=0.1, kernel='linear')",0.5471183103752222,pi2,19.066307867725424,OCSVM,True,2,0.89,True
pi5,"SVR(C=0.1, kernel='linear')",0.5471183103752222,pi3,0.3453421461213182,OCSVM,True,2,1.0,True
pi5,"SVR(C=0.1, kernel='linear')",0.5471183103752222,pi4,3.512167167364745,OCSVM,True,2,0.85,True
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.371488380340003,pi4,4.867393440894711,OCSVM,True,2,0.85,True
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.371488380340003,pi5,0.6864930806849617,OCSVM,True,2,0.53,True
pi2,LinearRegression(),0.7507258697099627,pi4,0.923159971832009,OCSVM,True,2,0.85,True
pi2,LinearRegression(),0.7507258697099627,pi5,26.993678489762818,OCSVM,True,2,0.0,True
pi4,LinearRegression(),0.03973252089693868,pi2,0.46982103526039876,OCSVM,True,2,0.43,True
pi4,LinearRegression(),0.03973252089693868,pi3,6.508426930118592,OCSVM,True,2,0.08,True
pi4,LinearRegression(),0.03973252089693868,pi5,22.074881427477518,OCSVM,True,2,0.08,True
pi5,LinearRegression(),0.5490601979921028,pi2,18.74767398378515,OCSVM,True,2,0.89,True
pi5,LinearRegression(),0.5490601979921028,pi3,0.36929798287412063,OCSVM,True,2,1.0,True
pi5,LinearRegression(),0.5490601979921028,pi4,3.442831966247507,OCSVM,True,2,0.85,True
pi3,LinearRegression(),0.37833783459847836,pi4,4.623973603028864,OCSVM,True,2,0.85,True
pi3,LinearRegression(),0.37833783459847836,pi5,0.6114815632152545,OCSVM,True,2,0.53,True
pi5,"SVR(C=10, epsilon=0.2)",0.622349289971919,pi3,0.5980493596829599,MMD OCSVM Verify,False,2,1.0,True
pi3,"SVR(C=1, epsilon=0.5)",0.4653957559067107,pi5,0.4824332482250354,MMD OCSVM Verify,False,2,0.53,True
pi5,"SVR(C=100, epsilon=0.2, kernel='linear')",0.5450353308739737,pi3,0.3160411919162084,MMD OCSVM Verify,False,2,1.0,True
pi3,SVR(kernel='linear'),0.3350176872639836,pi5,0.08763036225141685,MMD OCSVM Verify,False,2,0.53,True
pi5,LinearRegression(),0.5490603117041633,pi3,0.36929837822280154,MMD OCSVM Verify,False,2,1.0,True
pi3,LinearRegression(),0.3783378375482429,pi5,0.6114808439836332,MMD OCSVM Verify,False,2,0.53,True
pi5,"SVR(C=100, epsilon=0.01)",0.6304965005397507,pi3,2.76069306235037,MMD OCSVM Verify,True,2,1.0,True
pi3,"SVR(C=1, epsilon=0.5)",0.5833340682417991,pi5,8.254370428100154,MMD OCSVM Verify,True,2,0.53,True
pi5,"SVR(C=0.1, kernel='linear')",0.5471183103752222,pi3,0.3453421461213182,MMD OCSVM Verify,True,2,1.0,True
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.371488380340003,pi5,0.6864930806849617,MMD OCSVM Verify,True,2,0.53,True
pi5,LinearRegression(),0.5490601979921028,pi3,0.36929798287412063,MMD OCSVM Verify,True,2,1.0,True
pi3,LinearRegression(),0.37833783459847836,pi5,0.6114815632152545,MMD OCSVM Verify,True,2,0.53,True
pi2,SVR(C=10),0.7687846123293275,pi4,0.5899693188613737,OCSVM,False,2,0.84,False
pi2,SVR(C=10),0.7687846123293275,pi5,26.846885544029153,OCSVM,False,2,0.0,False
pi4,"SVR(C=10, epsilon=1)",0.47165588512209045,pi2,6.8797404836111715,OCSVM,False,2,0.46,False
pi4,"SVR(C=10, epsilon=1)",0.47165588512209045,pi3,7.513189750260113,OCSVM,False,2,0.08,False
pi4,"SVR(C=10, epsilon=1)",0.47165588512209045,pi5,11.50150787538118,OCSVM,False,2,0.07,False
pi5,"SVR(C=10, epsilon=0.2)",0.622349289971919,pi2,18.80549142173968,OCSVM,False,2,0.9,False
pi5,"SVR(C=10, epsilon=0.2)",0.622349289971919,pi3,0.5980493596829599,OCSVM,False,2,1.0,False
pi5,"SVR(C=10, epsilon=0.2)",0.622349289971919,pi4,3.5219145416897026,OCSVM,False,2,0.84,False
pi3,"SVR(C=1, epsilon=0.5)",0.4653957559067107,pi4,4.492838895854162,OCSVM,False,2,0.87,False
pi3,"SVR(C=1, epsilon=0.5)",0.4653957559067107,pi5,0.4824332482250354,OCSVM,False,2,0.55,False
pi2,"SVR(C=100, epsilon=1, kernel='linear')",0.7506323776932822,pi4,0.931781507983116,OCSVM,False,2,0.84,False
pi2,"SVR(C=100, epsilon=1, kernel='linear')",0.7506323776932822,pi5,27.05916047603532,OCSVM,False,2,0.0,False
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.008371635686436618,pi2,0.2031514081934469,OCSVM,False,2,0.46,False
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.008371635686436618,pi3,6.277339388296024,OCSVM,False,2,0.08,False
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.008371635686436618,pi5,26.52532294783111,OCSVM,False,2,0.07,False
