model_node,model,score,test_node,discrepancy,method,threshold,sample pair calculation,experiment,std
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi4,0.08,MMD OCSVM Verify,0.67,False,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.96,pi3,0.05,MMD OCSVM Verify,0.98,False,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi3,0.06,MMD OCSVM Verify,0.42,False,1,True
pi3,SVR(kernel='linear'),0.93,pi2,0.05,MMD OCSVM Verify,0.63,False,1,True
pi3,SVR(kernel='linear'),0.93,pi4,0.02,MMD OCSVM Verify,0.67,False,1,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.91,pi3,0.02,MMD OCSVM Verify,0.98,False,1,True
pi2,"SVR(C=1, epsilon=0.5)",0.36,pi3,0.09,MMD,0.03,True,2,True
pi3,"SVR(C=1, epsilon=0.5)",0.65,pi2,0.34,MMD,0.03,True,2,True
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.27,pi3,0.14,MMD,0.03,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.47,pi2,0.24,MMD,0.03,True,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.36,pi3,0.09,OCSVM,0.32,True,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.36,pi4,0.75,OCSVM,0.2,True,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.36,pi5,0.35,OCSVM,0.39,True,2,True
pi3,"SVR(C=1, epsilon=0.5)",0.65,pi2,0.34,OCSVM,0.74,True,2,True
pi3,"SVR(C=1, epsilon=0.5)",0.65,pi4,1.49,OCSVM,0.4,True,2,True
pi3,"SVR(C=1, epsilon=0.5)",0.65,pi5,0.68,OCSVM,0.75,True,2,True
pi4,"SVR(C=1, epsilon=0.5)",0.38,pi2,0.83,OCSVM,0.63,True,2,True
pi4,"SVR(C=1, epsilon=0.5)",0.38,pi3,0.68,OCSVM,0.57,True,2,True
pi4,"SVR(C=1, epsilon=0.5)",0.38,pi5,0.51,OCSVM,0.77,True,2,True
pi5,"SVR(C=100, epsilon=0.5)",0.35,pi2,0.32,OCSVM,0.75,True,2,True
pi5,"SVR(C=100, epsilon=0.5)",0.35,pi3,0.13,OCSVM,0.75,True,2,True
pi5,"SVR(C=100, epsilon=0.5)",0.35,pi4,1.04,OCSVM,0.34,True,2,True
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.27,pi3,0.14,OCSVM,0.32,True,2,True
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.27,pi4,0.44,OCSVM,0.2,True,2,True
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.27,pi5,0.04,OCSVM,0.39,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.47,pi2,0.24,OCSVM,0.74,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.47,pi4,0.9,OCSVM,0.4,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.47,pi5,0.28,OCSVM,0.75,True,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi2,0.0,OCSVM,0.63,True,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi3,0.0,OCSVM,0.57,True,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi5,0.0,OCSVM,0.77,True,2,True
pi5,"SVR(C=0.1, kernel='linear')",0.23,pi2,0.03,OCSVM,0.75,True,2,True
pi5,"SVR(C=0.1, kernel='linear')",0.23,pi3,0.24,OCSVM,0.75,True,2,True
pi5,"SVR(C=0.1, kernel='linear')",0.23,pi4,0.54,OCSVM,0.34,True,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.36,pi3,0.09,MMD OCSVM Verify,0.32,True,2,True
pi3,"SVR(C=1, epsilon=0.5)",0.65,pi2,0.34,MMD OCSVM Verify,0.74,True,2,True
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.27,pi3,0.14,MMD OCSVM Verify,0.32,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.47,pi2,0.24,MMD OCSVM Verify,0.74,True,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.36,pi3,0.09,OCSVM,0.48,False,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.36,pi4,0.75,OCSVM,0.14,False,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.36,pi5,0.35,OCSVM,1.11,False,2,True
pi3,"SVR(C=1, epsilon=0.5)",0.65,pi2,0.34,OCSVM,0.82,False,2,True
pi3,"SVR(C=1, epsilon=0.5)",0.65,pi4,1.49,OCSVM,0.41,False,2,True
pi3,"SVR(C=1, epsilon=0.5)",0.65,pi5,0.68,OCSVM,1.44,False,2,True
pi4,"SVR(C=1, epsilon=0.5)",0.38,pi2,0.83,OCSVM,0.7,False,2,True
pi4,"SVR(C=1, epsilon=0.5)",0.38,pi3,0.68,OCSVM,0.7,False,2,True
pi4,"SVR(C=1, epsilon=0.5)",0.38,pi5,0.51,OCSVM,1.23,False,2,True
pi5,"SVR(C=100, epsilon=0.5)",0.35,pi2,0.32,OCSVM,0.84,False,2,True
pi5,"SVR(C=100, epsilon=0.5)",0.35,pi3,0.13,OCSVM,0.9,False,2,True
pi5,"SVR(C=100, epsilon=0.5)",0.35,pi4,1.04,OCSVM,0.34,False,2,True
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.27,pi3,0.14,OCSVM,0.48,False,2,True
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.27,pi4,0.44,OCSVM,0.14,False,2,True
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.27,pi5,0.04,OCSVM,1.11,False,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.47,pi2,0.24,OCSVM,0.82,False,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.47,pi4,0.9,OCSVM,0.41,False,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.47,pi5,0.28,OCSVM,1.44,False,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi2,0.0,OCSVM,0.7,False,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi3,0.0,OCSVM,0.7,False,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi5,0.0,OCSVM,1.23,False,2,True
pi5,"SVR(C=0.1, kernel='linear')",0.23,pi2,0.03,OCSVM,0.84,False,2,True
pi5,"SVR(C=0.1, kernel='linear')",0.23,pi3,0.24,OCSVM,0.9,False,2,True
pi5,"SVR(C=0.1, kernel='linear')",0.23,pi4,0.54,OCSVM,0.34,False,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.36,pi3,0.09,MMD OCSVM Verify,0.48,False,2,True
pi3,"SVR(C=1, epsilon=0.5)",0.65,pi2,0.34,MMD OCSVM Verify,0.82,False,2,True
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.27,pi3,0.14,MMD OCSVM Verify,0.48,False,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.47,pi2,0.24,MMD OCSVM Verify,0.82,False,2,True
pi2,SVR(C=100),0.95,pi4,0.03,MMD,0.03,True,3,True
pi4,SVR(C=100),0.99,pi2,0.05,MMD,0.03,True,3,True
pi4,SVR(C=100),0.99,pi3,1.24,MMD,0.08,True,3,True
pi4,SVR(C=100),0.99,pi5,0.9,MMD,0.07,True,3,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.3,pi4,0.16,MMD,0.08,True,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.61,pi4,0.09,MMD,0.07,True,3,True
pi2,SVR(kernel='linear'),0.95,pi4,0.03,MMD,0.03,True,3,True
pi4,SVR(kernel='linear'),0.98,pi2,0.04,MMD,0.03,True,3,True
pi4,SVR(kernel='linear'),0.98,pi3,1.23,MMD,0.08,True,3,True
pi4,SVR(kernel='linear'),0.98,pi5,0.47,MMD,0.07,True,3,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.14,pi4,0.49,MMD,0.08,True,3,True
pi5,"SVR(C=10, epsilon=0.2, kernel='linear')",0.51,pi4,0.3,MMD,0.07,True,3,True
pi2,SVR(C=100),0.95,pi3,1.26,OCSVM,0.25,True,3,True
pi2,SVR(C=100),0.95,pi4,0.03,OCSVM,0.92,True,3,True
pi2,SVR(C=100),0.95,pi5,0.72,OCSVM,0.5,True,3,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.3,pi2,0.2,OCSVM,0.95,True,3,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.3,pi4,0.16,OCSVM,0.8,True,3,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.3,pi5,0.09,OCSVM,0.83,True,3,True
pi4,SVR(C=100),0.99,pi2,0.05,OCSVM,0.72,True,3,True
pi4,SVR(C=100),0.99,pi3,1.24,OCSVM,0.11,True,3,True
pi4,SVR(C=100),0.99,pi5,0.9,OCSVM,0.34,True,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.61,pi2,0.15,OCSVM,0.78,True,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.61,pi3,0.64,OCSVM,0.14,True,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.61,pi4,0.09,OCSVM,0.78,True,3,True
pi2,SVR(kernel='linear'),0.95,pi3,1.14,OCSVM,0.25,True,3,True
pi2,SVR(kernel='linear'),0.95,pi4,0.03,OCSVM,0.92,True,3,True
pi2,SVR(kernel='linear'),0.95,pi5,0.41,OCSVM,0.5,True,3,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.14,pi2,0.49,OCSVM,0.95,True,3,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.14,pi4,0.49,OCSVM,0.8,True,3,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.14,pi5,0.3,OCSVM,0.83,True,3,True
pi4,SVR(kernel='linear'),0.98,pi2,0.04,OCSVM,0.72,True,3,True
pi4,SVR(kernel='linear'),0.98,pi3,1.23,OCSVM,0.11,True,3,True
pi4,SVR(kernel='linear'),0.98,pi5,0.47,OCSVM,0.34,True,3,True
pi5,"SVR(C=10, epsilon=0.2, kernel='linear')",0.51,pi2,0.27,OCSVM,0.78,True,3,True
pi5,"SVR(C=10, epsilon=0.2, kernel='linear')",0.51,pi3,0.47,OCSVM,0.14,True,3,True
pi5,"SVR(C=10, epsilon=0.2, kernel='linear')",0.51,pi4,0.3,OCSVM,0.78,True,3,True
pi2,SVR(C=100),0.95,pi4,0.03,MMD OCSVM Verify,0.92,True,3,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.3,pi4,0.16,MMD OCSVM Verify,0.8,True,3,True
pi4,SVR(C=100),0.99,pi2,0.05,MMD OCSVM Verify,0.72,True,3,True
pi4,SVR(C=100),0.99,pi3,1.24,MMD OCSVM Verify,0.11,True,3,True
pi4,SVR(C=100),0.99,pi5,0.9,MMD OCSVM Verify,0.34,True,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.61,pi4,0.09,MMD OCSVM Verify,0.78,True,3,True
pi2,SVR(kernel='linear'),0.95,pi4,0.03,MMD OCSVM Verify,0.92,True,3,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.14,pi4,0.49,MMD OCSVM Verify,0.8,True,3,True
pi4,SVR(kernel='linear'),0.98,pi2,0.04,MMD OCSVM Verify,0.72,True,3,True
pi4,SVR(kernel='linear'),0.98,pi3,1.23,MMD OCSVM Verify,0.11,True,3,True
pi4,SVR(kernel='linear'),0.98,pi5,0.47,MMD OCSVM Verify,0.34,True,3,True
pi5,"SVR(C=10, epsilon=0.2, kernel='linear')",0.51,pi4,0.3,MMD OCSVM Verify,0.78,True,3,True
pi2,SVR(C=100),0.95,pi3,1.26,OCSVM,0.2,False,3,True
pi2,SVR(C=100),0.95,pi4,0.03,OCSVM,1.46,False,3,True
pi2,SVR(C=100),0.95,pi5,0.72,OCSVM,0.89,False,3,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.3,pi2,0.2,OCSVM,0.96,False,3,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.3,pi4,0.16,OCSVM,2.44,False,3,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.3,pi5,0.09,OCSVM,2.89,False,3,True
pi4,SVR(C=100),0.99,pi2,0.05,OCSVM,0.79,False,3,True
pi4,SVR(C=100),0.99,pi3,1.24,OCSVM,0.17,False,3,True
pi4,SVR(C=100),0.99,pi5,0.9,OCSVM,0.41,False,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.61,pi2,0.15,OCSVM,0.84,False,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.61,pi3,0.64,OCSVM,0.23,False,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.61,pi4,0.09,OCSVM,0.82,False,3,True
pi2,SVR(kernel='linear'),0.95,pi3,1.14,OCSVM,0.2,False,3,True
pi2,SVR(kernel='linear'),0.95,pi4,0.03,OCSVM,1.46,False,3,True
pi2,SVR(kernel='linear'),0.95,pi5,0.41,OCSVM,0.89,False,3,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.14,pi2,0.49,OCSVM,0.96,False,3,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.14,pi4,0.49,OCSVM,2.44,False,3,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.14,pi5,0.3,OCSVM,2.89,False,3,True
pi4,SVR(kernel='linear'),0.98,pi2,0.04,OCSVM,0.79,False,3,True
pi4,SVR(kernel='linear'),0.98,pi3,1.23,OCSVM,0.17,False,3,True
pi4,SVR(kernel='linear'),0.98,pi5,0.47,OCSVM,0.41,False,3,True
pi5,"SVR(C=10, epsilon=0.2, kernel='linear')",0.51,pi2,0.27,OCSVM,0.84,False,3,True
pi5,"SVR(C=10, epsilon=0.2, kernel='linear')",0.51,pi3,0.47,OCSVM,0.23,False,3,True
pi5,"SVR(C=10, epsilon=0.2, kernel='linear')",0.51,pi4,0.3,OCSVM,0.82,False,3,True
pi2,SVR(C=100),0.95,pi4,0.03,MMD OCSVM Verify,1.46,False,3,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.3,pi4,0.16,MMD OCSVM Verify,2.44,False,3,True
pi4,SVR(C=100),0.99,pi2,0.05,MMD OCSVM Verify,0.79,False,3,True
pi4,SVR(C=100),0.99,pi3,1.24,MMD OCSVM Verify,0.17,False,3,True
pi4,SVR(C=100),0.99,pi5,0.9,MMD OCSVM Verify,0.41,False,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.61,pi4,0.09,MMD OCSVM Verify,0.82,False,3,True
pi2,SVR(kernel='linear'),0.95,pi4,0.03,MMD OCSVM Verify,1.46,False,3,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.14,pi4,0.49,MMD OCSVM Verify,2.44,False,3,True
pi4,SVR(kernel='linear'),0.98,pi2,0.04,MMD OCSVM Verify,0.79,False,3,True
pi4,SVR(kernel='linear'),0.98,pi3,1.23,MMD OCSVM Verify,0.17,False,3,True
pi4,SVR(kernel='linear'),0.98,pi5,0.47,MMD OCSVM Verify,0.41,False,3,True
pi5,"SVR(C=10, epsilon=0.2, kernel='linear')",0.51,pi4,0.3,MMD OCSVM Verify,0.82,False,3,True
