model_node,model,score,test_node,discrepancy,method,threshold,sample pair calculation,experiment,std
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.29,pi5,0.06,OCSVM,0.39,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi2,0.27,OCSVM,0.74,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi4,0.93,OCSVM,0.4,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi5,0.32,OCSVM,0.76,True,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi2,0.0,OCSVM,0.63,True,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi3,0.0,OCSVM,0.62,True,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi5,0.0,OCSVM,0.77,True,2,True
pi5,"SVR(C=1, epsilon=0, kernel='linear')",0.24,pi2,0.04,OCSVM,0.76,True,2,True
pi5,"SVR(C=1, epsilon=0, kernel='linear')",0.24,pi3,0.28,OCSVM,0.72,True,2,True
pi5,"SVR(C=1, epsilon=0, kernel='linear')",0.24,pi4,0.51,OCSVM,0.34,True,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.34,pi3,0.07,MMD OCSVM Verify,0.27,True,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi2,1.5,MMD OCSVM Verify,0.74,True,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi5,3.1,MMD OCSVM Verify,0.76,True,2,True
pi5,"SVR(C=10, epsilon=0.5)",0.35,pi3,0.02,MMD OCSVM Verify,0.72,True,2,True
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.29,pi3,0.2,MMD OCSVM Verify,0.27,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi2,0.27,MMD OCSVM Verify,0.74,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi5,0.32,MMD OCSVM Verify,0.76,True,2,True
pi5,"SVR(C=1, epsilon=0, kernel='linear')",0.24,pi3,0.28,MMD OCSVM Verify,0.72,True,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.34,pi3,0.07,OCSVM,0.48,False,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.34,pi4,0.67,OCSVM,0.14,False,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.34,pi5,0.37,OCSVM,1.11,False,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi2,1.5,OCSVM,0.82,False,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi4,1.47,OCSVM,0.41,False,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi5,3.1,OCSVM,1.44,False,2,True
pi4,"SVR(C=100, epsilon=0.5)",0.39,pi2,1.31,OCSVM,0.7,False,2,True
pi4,"SVR(C=100, epsilon=0.5)",0.39,pi3,1.15,OCSVM,0.7,False,2,True
pi4,"SVR(C=100, epsilon=0.5)",0.39,pi5,0.84,OCSVM,1.23,False,2,True
pi5,"SVR(C=10, epsilon=0.5)",0.35,pi2,0.3,OCSVM,0.84,False,2,True
pi5,"SVR(C=10, epsilon=0.5)",0.35,pi3,0.02,OCSVM,0.9,False,2,True
pi5,"SVR(C=10, epsilon=0.5)",0.35,pi4,0.93,OCSVM,0.34,False,2,True
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.29,pi3,0.2,OCSVM,0.48,False,2,True
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.29,pi4,0.49,OCSVM,0.14,False,2,True
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.29,pi5,0.06,OCSVM,1.11,False,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi2,0.27,OCSVM,0.82,False,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi4,0.93,OCSVM,0.41,False,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi5,0.32,OCSVM,1.44,False,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi2,0.0,OCSVM,0.7,False,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi3,0.0,OCSVM,0.7,False,2,True
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.0,pi5,0.0,OCSVM,1.23,False,2,True
pi5,"SVR(C=1, epsilon=0, kernel='linear')",0.24,pi2,0.04,OCSVM,0.84,False,2,True
pi5,"SVR(C=1, epsilon=0, kernel='linear')",0.24,pi3,0.28,OCSVM,0.9,False,2,True
pi5,"SVR(C=1, epsilon=0, kernel='linear')",0.24,pi4,0.51,OCSVM,0.34,False,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.34,pi3,0.07,MMD OCSVM Verify,0.48,False,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi2,1.5,MMD OCSVM Verify,0.82,False,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi5,3.1,MMD OCSVM Verify,1.44,False,2,True
pi5,"SVR(C=10, epsilon=0.5)",0.35,pi3,0.02,MMD OCSVM Verify,0.9,False,2,True
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.29,pi3,0.2,MMD OCSVM Verify,0.48,False,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi2,0.27,MMD OCSVM Verify,0.82,False,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi5,0.32,MMD OCSVM Verify,1.44,False,2,True
pi5,"SVR(C=1, epsilon=0, kernel='linear')",0.24,pi3,0.28,MMD OCSVM Verify,0.9,False,2,True
pi2,SVR(C=10),0.95,pi4,0.03,MMD,0.02,True,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi2,0.04,MMD,0.02,True,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi3,1.01,MMD,0.08,True,3,True
pi3,"SVR(C=1, epsilon=0.2)",0.29,pi4,0.12,MMD,0.08,True,3,True
pi2,SVR(kernel='linear'),0.95,pi4,0.03,MMD,0.02,True,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi2,0.03,MMD,0.02,True,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi3,0.97,MMD,0.08,True,3,True
pi3,"SVR(C=100, epsilon=0.5, kernel='linear')",0.21,pi4,0.44,MMD,0.08,True,3,True
pi2,SVR(C=10),0.95,pi3,1.09,OCSVM,0.23,True,3,True
pi2,SVR(C=10),0.95,pi4,0.03,OCSVM,0.94,True,3,True
pi2,SVR(C=10),0.95,pi5,0.55,OCSVM,0.52,True,3,True
pi3,"SVR(C=1, epsilon=0.2)",0.29,pi2,0.14,OCSVM,0.88,True,3,True
pi3,"SVR(C=1, epsilon=0.2)",0.29,pi4,0.12,OCSVM,0.85,True,3,True
pi3,"SVR(C=1, epsilon=0.2)",0.29,pi5,0.19,OCSVM,0.86,True,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi2,0.04,OCSVM,0.7,True,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi3,1.01,OCSVM,0.11,True,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi5,0.71,OCSVM,0.36,True,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.6,pi2,0.16,OCSVM,0.76,True,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.6,pi3,0.69,OCSVM,0.16,True,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.6,pi4,0.12,OCSVM,0.76,True,3,True
pi2,SVR(kernel='linear'),0.95,pi3,0.94,OCSVM,0.23,True,3,True
pi2,SVR(kernel='linear'),0.95,pi4,0.03,OCSVM,0.94,True,3,True
pi2,SVR(kernel='linear'),0.95,pi5,0.49,OCSVM,0.52,True,3,True
pi3,"SVR(C=100, epsilon=0.5, kernel='linear')",0.21,pi2,0.42,OCSVM,0.88,True,3,True
pi3,"SVR(C=100, epsilon=0.5, kernel='linear')",0.21,pi4,0.44,OCSVM,0.85,True,3,True
pi3,"SVR(C=100, epsilon=0.5, kernel='linear')",0.21,pi5,0.21,OCSVM,0.86,True,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi2,0.03,OCSVM,0.7,True,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi3,0.97,OCSVM,0.11,True,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi5,0.52,OCSVM,0.36,True,3,True
pi5,"SVR(C=100, epsilon=0.5, kernel='linear')",0.51,pi2,0.3,OCSVM,0.76,True,3,True
pi5,"SVR(C=100, epsilon=0.5, kernel='linear')",0.51,pi3,0.29,OCSVM,0.16,True,3,True
pi5,"SVR(C=100, epsilon=0.5, kernel='linear')",0.51,pi4,0.31,OCSVM,0.76,True,3,True
pi2,SVR(C=10),0.95,pi4,0.03,MMD OCSVM Verify,0.94,True,3,True
pi3,"SVR(C=1, epsilon=0.2)",0.29,pi4,0.12,MMD OCSVM Verify,0.85,True,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi2,0.04,MMD OCSVM Verify,0.7,True,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi3,1.01,MMD OCSVM Verify,0.11,True,3,True
pi2,SVR(kernel='linear'),0.95,pi4,0.03,MMD OCSVM Verify,0.94,True,3,True
pi3,"SVR(C=100, epsilon=0.5, kernel='linear')",0.21,pi4,0.44,MMD OCSVM Verify,0.85,True,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi2,0.03,MMD OCSVM Verify,0.7,True,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi3,0.97,MMD OCSVM Verify,0.11,True,3,True
pi2,SVR(C=10),0.95,pi3,1.09,OCSVM,0.2,False,3,True
pi2,SVR(C=10),0.95,pi4,0.03,OCSVM,1.46,False,3,True
pi2,SVR(C=10),0.95,pi5,0.55,OCSVM,0.89,False,3,True
pi3,"SVR(C=1, epsilon=0.2)",0.29,pi2,0.14,OCSVM,0.96,False,3,True
pi3,"SVR(C=1, epsilon=0.2)",0.29,pi4,0.12,OCSVM,2.44,False,3,True
pi3,"SVR(C=1, epsilon=0.2)",0.29,pi5,0.19,OCSVM,2.89,False,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi2,0.04,OCSVM,0.79,False,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi3,1.01,OCSVM,0.17,False,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi5,0.71,OCSVM,0.41,False,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.6,pi2,0.16,OCSVM,0.84,False,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.6,pi3,0.69,OCSVM,0.23,False,3,True
pi5,"SVR(C=1, epsilon=0.5)",0.6,pi4,0.12,OCSVM,0.82,False,3,True
pi2,SVR(kernel='linear'),0.95,pi3,0.94,OCSVM,0.2,False,3,True
pi2,SVR(kernel='linear'),0.95,pi4,0.03,OCSVM,1.46,False,3,True
pi2,SVR(kernel='linear'),0.95,pi5,0.49,OCSVM,0.89,False,3,True
pi3,"SVR(C=100, epsilon=0.5, kernel='linear')",0.21,pi2,0.42,OCSVM,0.96,False,3,True
pi3,"SVR(C=100, epsilon=0.5, kernel='linear')",0.21,pi4,0.44,OCSVM,2.44,False,3,True
pi3,"SVR(C=100, epsilon=0.5, kernel='linear')",0.21,pi5,0.21,OCSVM,2.89,False,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi2,0.03,OCSVM,0.79,False,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi3,0.97,OCSVM,0.17,False,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi5,0.52,OCSVM,0.41,False,3,True
pi5,"SVR(C=100, epsilon=0.5, kernel='linear')",0.51,pi2,0.3,OCSVM,0.84,False,3,True
pi5,"SVR(C=100, epsilon=0.5, kernel='linear')",0.51,pi3,0.29,OCSVM,0.23,False,3,True
pi5,"SVR(C=100, epsilon=0.5, kernel='linear')",0.51,pi4,0.31,OCSVM,0.82,False,3,True
pi2,SVR(C=10),0.95,pi4,0.03,MMD OCSVM Verify,1.46,False,3,True
pi3,"SVR(C=1, epsilon=0.2)",0.29,pi4,0.12,MMD OCSVM Verify,2.44,False,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi2,0.04,MMD OCSVM Verify,0.79,False,3,True
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi3,1.01,MMD OCSVM Verify,0.17,False,3,True
pi2,SVR(kernel='linear'),0.95,pi4,0.03,MMD OCSVM Verify,1.46,False,3,True
pi3,"SVR(C=100, epsilon=0.5, kernel='linear')",0.21,pi4,0.44,MMD OCSVM Verify,2.44,False,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi2,0.03,MMD OCSVM Verify,0.79,False,3,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.98,pi3,0.97,MMD OCSVM Verify,0.17,False,3,True
