model_node,model,score,test_node,discrepancy,method,std,experiment
pi4,"SVR(C=100, epsilon=0.01)",0.98923780685807,pi3,1.090728458685415,MMD,True,3
pi3,"SVR(C=100, epsilon=0.01, kernel='linear')",0.014001767618064043,pi4,0.8484560385107236,MMD,True,3
pi4,SVR(kernel='linear'),0.9851556501372734,pi3,1.868635922565955,MMD,True,3
pi3,LinearRegression(),0.03639095048136065,pi4,0.5525041774691244,MMD,True,3
pi4,LinearRegression(),0.9851611200726493,pi3,1.9349807551552884,MMD,True,3
pi2,SVR(),0.9390217924991877,pi4,2.400026020163805,OCSVM,True,3
pi4,"SVR(C=100, epsilon=0.01)",0.98923780685807,pi2,2.6194153804404445,OCSVM,True,3
pi4,"SVR(C=100, epsilon=0.01)",0.98923780685807,pi3,1.090728458685415,OCSVM,True,3
pi3,SVR(),0.11770889337360113,pi4,0.9986752455758273,OCSVM,True,3
pi2,SVR(kernel='linear'),0.9363245787022625,pi4,0.07474691593269356,OCSVM,True,3
pi4,SVR(kernel='linear'),0.9851556501372734,pi2,0.033087992308359904,OCSVM,True,3
pi4,SVR(kernel='linear'),0.9851556501372734,pi3,1.868635922565955,OCSVM,True,3
pi3,"SVR(C=100, epsilon=0.01, kernel='linear')",0.014001767618064043,pi4,0.8484560385107236,OCSVM,True,3
pi2,LinearRegression(),0.9364866559135838,pi4,0.07579180358275306,OCSVM,True,3
pi4,LinearRegression(),0.9851611200726493,pi2,0.03253457395838777,OCSVM,True,3
pi4,LinearRegression(),0.9851611200726493,pi3,1.9349807551552884,OCSVM,True,3
pi3,LinearRegression(),0.03639095048136065,pi4,0.5525041774691244,OCSVM,True,3
pi4,"SVR(C=100, epsilon=0.01)",0.98923780685807,pi3,1.090728458685415,MMD OCSVM Verify,True,3
pi3,SVR(),0.11770889337360113,pi4,0.9986752455758273,MMD OCSVM Verify,True,3
pi4,SVR(kernel='linear'),0.9851556501372734,pi3,1.868635922565955,MMD OCSVM Verify,True,3
pi3,"SVR(C=100, epsilon=0.01, kernel='linear')",0.014001767618064043,pi4,0.8484560385107236,MMD OCSVM Verify,True,3
pi4,LinearRegression(),0.9851611200726493,pi3,1.9349807551552884,MMD OCSVM Verify,True,3
pi3,LinearRegression(),0.03639095048136065,pi4,0.5525041774691244,MMD OCSVM Verify,True,3
